
1999 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    美国                   14882.56
2    德国                    4387.23
3    意大利                 2232.51
4    加拿大                 1158.48
5    印度                     696.51
6    荷兰                     609.28
7    土耳其                  512.68
8    奥地利                  388.57
9    泰国                     356.89
10   波兰                     285.63
11   马来西亚               244.86
12   南非                     233.08
13   爱尔兰                  232.63
14   新加坡                  197.17
15   以色列                  192.78
16   挪威                     164.32
17   智利                     122.58
18   尼日利亚                96.52
19   巴基斯坦                90.77
20   乌克兰                   86.00
21   摩洛哥                   76.65
22   阿拉伯联合酋长国        72.26
23   斯洛文尼亚             49.97
24   多米尼加共和国        47.98
25   古巴                      47.13
26   塞尔维亚                42.36
27   厄瓜多尔                41.78
28   克罗地亚                37.72
29   白俄罗斯                34.27
30   乌拉圭                   32.20
31   哥斯达黎加             26.62
32   危地马拉                24.54
33   哈萨克斯坦             23.77
34   萨尔瓦多                21.86
35   卢森堡                   21.22
36   科特迪瓦                20.51
37   喀麦隆                   19.51
38   肯尼亚                   13.08
39   坦桑尼亚                13.00
40   冰岛                      10.75
41   约旦                      10.73
42   拉脱维亚                10.21
43   津巴布韦                 9.05
44   牙买加                    8.86
45   毛里求斯                 8.75
46   莫桑比克                 7.98
47   尼加拉瓜                 5.81
48   乌干达                    5.33
49   波斯尼亚和黑塞哥维那         5.01
50   斯威士兰                 4.97
51   贝宁                       4.84
52   柬埔寨                    4.64
53   约旦河西岸和加沙         4.52
54   尼泊尔                    4.46
55   埃塞俄比亚              4.42
56   格鲁吉亚                 3.57
57   纳米比亚                 3.39
58   博茨瓦纳                 3.05
59   阿塞拜疆                 2.77
60   加蓬                       2.20
61   塔吉克斯坦              2.13
62   毛里塔尼亚              2.11
63   安哥拉                    1.98
64   吉尔吉斯斯坦           1.62
65   阿尔巴尼亚              1.46
66   几内亚                    1.33
67   刚果（布）              1.29
68   老挝                       1.27
69   塞舌尔                    0.94
70   布隆迪                    0.91
71   法罗群岛                 0.81
72   苏里南                    0.70
73   阿鲁巴                    0.62
74   冈比亚                    0.58
75   不丹                       0.36
76   格林纳达                 0.23
77   多米尼克                 0.21
78   安提瓜和巴布达         0.13
79   瓦努阿图                 0.12
80   基里巴斯                 0.04
81   图瓦卢                    0.01
82   开曼群岛                 0.00
83   圣卢西亚                 0.00
84   中国                       0.00
85   亚美尼亚                 0.00
86   马恩岛                    0.00
87   东帝汶                    0.00
88   黑山                       0.00
89   帕劳                       0.00
90   科索沃                    0.00
91   南苏丹                    0.00
92   马里                       0.00
93   圣马丁(荷属)            0.00
94   百慕大                    0.00
95   中非共和国              0.00
96   阿富汗                    0.00

2000 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    美国                   15498.35
2    德国                    3992.38
3    意大利                 2010.08
4    加拿大                 1267.93
5    印度                     746.01
6    荷兰                     556.08
7    土耳其                  513.10
8    泰国                     358.64
9    奥地利                  358.47
10   马来西亚               289.47
11   波兰                     276.46
12   新加坡                  248.46
13   南非                     238.27
14   爱尔兰                  231.10
15   以色列                  222.14
16   挪威                     151.49
17   智利                     131.43
18   尼日利亚                96.77
19   阿拉伯联合酋长国        94.65
20   巴基斯坦                83.82
21   摩洛哥                   71.87
22   乌克兰                   50.99
23   多米尼加共和国        50.98
24   古巴                      50.20
25   斯洛文尼亚             43.95
26   厄瓜多尔                41.02
27   克罗地亚                36.37
28   白俄罗斯                34.45
29   哈萨克斯坦             30.18
30   乌拉圭                   28.57
31   哥斯达黎加             27.50
32   危地马拉                25.41
33   萨尔瓦多                23.02
34   卢森堡                   20.48
35   塞尔维亚                18.65
36   科特迪瓦                18.49
37   喀麦隆                   17.93
38   坦桑尼亚                13.19
39   肯尼亚                   13.11
40   约旦                      11.38
41   拉脱维亚                10.83
42   冰岛                      10.53
43   毛里求斯                 9.21
44   津巴布韦                 8.96
45   牙买加                    8.42
46   莫桑比克                 7.22
47   尼加拉瓜                 6.37
48   斯威士兰                 5.89
49   柬埔寨                    5.85
50   贝宁                       4.92
51   尼泊尔                    4.86
52   波斯尼亚和黑塞哥维那         4.68
53   埃塞俄比亚              4.62
54   约旦河西岸和加沙         4.50
55   乌干达                    4.40
56   纳米比亚                 3.82
57   格鲁吉亚                 3.74
58   博茨瓦纳                 3.26
59   阿塞拜疆                 2.79
60   安哥拉                    2.64
61   吉尔吉斯斯坦           2.48
62   加蓬                       1.89
63   毛里塔尼亚              1.76
64   老挝                       1.51
65   阿尔巴尼亚              1.50
66   苏里南                    1.35
67   塞舌尔                    1.18
68   几内亚                    1.13
69   刚果（布）              1.12
70   布隆迪                    0.95
71   黑山                       0.91
72   阿鲁巴                    0.73
73   法罗群岛                 0.69
74   冈比亚                    0.53
75   不丹                       0.36
76   格林纳达                 0.24
77   多米尼克                 0.23
78   安提瓜和巴布达         0.13
79   瓦努阿图                 0.12
80   东帝汶                    0.09
81   帕劳                       0.04
82   基里巴斯                 0.03
83   图瓦卢                    0.00
84   亚美尼亚                 0.00
85   开曼群岛                 0.00
86   马恩岛                    0.00
87   塔吉克斯坦              0.00
88   中国                       0.00
89   圣卢西亚                 0.00
90   科索沃                    0.00
91   南苏丹                    0.00
92   马里                       0.00
93   圣马丁(荷属)            0.00
94   百慕大                    0.00
95   中非共和国              0.00
96   阿富汗                    0.00

2001 年世界各国制造业增加值排名
名次 国家               增加值（亿美元）
1    美国                   14732.46
2    德国                    3954.54
3    意大利                 2000.56
4    加拿大                 1185.23
5    印度                     743.07
6    荷兰                     565.89
7    奥地利                  361.94
8    土耳其                  357.39
9    泰国                     334.75
10   波兰                     277.64
11   爱尔兰                  275.86
12   马来西亚               272.19
13   南非                     213.53
14   新加坡                  210.07
15   以色列                  200.60
16   挪威                     155.05
17   阿拉伯联合酋长国       137.55
18   智利                     124.44
19   尼日利亚               103.09
20   巴基斯坦                84.53
21   摩洛哥                   66.45
22   乌克兰                   58.68
